timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
00:01.0,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265BLKCARSTUTR_PR1_UPLCCARRIERLEVELLOWCHG-DET
00:02.0,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232BLKCARDevice689SIGNALRECEIVEDNORMALCHG-DET
00:02.0,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611BLKCARL752_PULSARSIGNALRECEIVEDBLOCKTRIPCHG-DET
00:02.0,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78BLKCARDevice753SIGNALRECEIVEDTRIPENABLEDCHG-DET
00:03.0,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051BLKCARDevice292SIGNALRECEIVEDTRIPENABLEDCHG-DET
00:03.0,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621BLKCARDevice20SIGNALRECEIVEDNORMALCHG-DET
00:04.0,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424BLKCARR8018_STANDSIGNALRECEIVEDBLOCKTRIPCHG-DET
00:04.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R7962_NATCHEZ,Substation1058BLKCARDevice4575SIGNALRECEIVEDNORMALCHG-DET
00:04.0,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611BLKCARL752_PULSARSIGNALRECEIVEDNORMALCHG-DET
00:04.0,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78BLKCARDevice753SIGNALRECEIVEDNORMALCHG-DET
00:04.0,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265BLKCARSTUTR_PR1_UPLCCARRIERLEVELNORMALCHG-DET
00:05.0,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355BLKCARDevice1706SIGNALRECEIVEDNORMALCHG-DET
00:05.0,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723BLKCARDevice516SIGNALRECEIVEDNORMALCHG-DET
00:05.0,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459BLKCARDevice285SIGNALXMITNORMALCHG-DET
00:05.0,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795BLKCARDevice775SIGNALRECEIVEDNORMALCHG-DET
